"Characteristic","Levels","Total"
"","11-30","598 (0.2%)"
"","31-100","376 (0.1%)"
"","101+","178 (0.1%)"
"",NA,"5,002 (1.9%)"
"bmi_cat","Underweight","2,616 (1.0%)"
"","Normal weight","31,616 (11.7%)"
"","Overweight","187,476 (69.5%)"
"","Obese","42,775 (15.9%)"
"",NA,"5,236 (1.9%)"
"Q_DIAG_AF","mean.sd","0 (0.1)"
"","median.iqr","0 (0)"
"Q_DIAG_ASTHMA","mean.sd","0.2 (0.4)"
"","median.iqr","0 (0)"
"Q_DIAG_BLOOD_CANCER","mean.sd","0 (0.1)"
"","median.iqr","0 (0)"
"Q_DIAG_CCF","mean.sd","0 (0.1)"
"","median.iqr","0 (0)"
"Q_DIAG_CEREBRALPALSY","mean.sd","0 (0)"
"","median.iqr","0 (0)"
"Q_DIAG_CHD","mean.sd","0 (0.2)"
"","median.iqr","0 (0)"
"Q_DIAG_CIRRHOSIS","mean.sd","0 (0.1)"
"","median.iqr","0 (0)"
"Q_DIAG_CONGEN_HD","mean.sd","0 (0.1)"
"","median.iqr","0 (0)"
"Q_DIAG_COPD","mean.sd","0 (0.1)"
"","median.iqr","0 (0)"
"Q_DIAG_DEMENTIA","mean.sd","0 (0.1)"
"","median.iqr","0 (0)"
"Q_DIAG_DIABETES_1","mean.sd","0 (0.1)"
"","median.iqr","0 (0)"
"Q_DIAG_DIABETES_2","mean.sd","0 (0.2)"
"","median.iqr","0 (0)"
"Q_DIAG_EPILEPSY","mean.sd","0 (0.1)"
"","median.iqr","0 (0)"
"Q_DIAG_FRACTURE","mean.sd","0 (0.2)"
"","median.iqr","0 (0)"
"Q_DIAG_NEURO","mean.sd","0 (0.1)"
"","median.iqr","0 (0)"
"Q_DIAG_PARKINSONS","mean.sd","0 (0)"
"","median.iqr","0 (0)"
"Q_DIAG_PULM_HYPER","mean.sd","0 (0)"
"","median.iqr","0 (0)"
"Q_DIAG_PULM_RARE","mean.sd","0 (0.1)"
"","median.iqr","0 (0)"
"Q_DIAG_PVD","mean.sd","0 (0.1)"
"","median.iqr","0 (0)"
"Q_DIAG_RA_SLE","mean.sd","0 (0.1)"
"","median.iqr","0 (0)"
"Q_DIAG_RESP_CANCER","mean.sd","0 (0)"
"","median.iqr","0 (0)"
"Q_DIAG_SEV_MENT_ILL","mean.sd","0.1 (0.3)"
"","median.iqr","0 (0)"
"Q_DIAG_SICKLE_CELL","mean.sd","0 (0)"
"","median.iqr","0 (0)"
"Q_DIAG_STROKE","mean.sd","0 (0.1)"
"","median.iqr","0 (0)"
"Q_DIAG_VTE","mean.sd","0 (0.1)"
"","median.iqr","0 (0)"
"Q_BMI","mean.sd","28.4 (6.4)"
"","median.iqr","27 (8)"
"Q_HOME_CAT","mean.sd","0 (0.1)"
"","median.iqr","0 (0)"
"Q_LEARN_CAT","mean.sd","0 (0.1)"
"","median.iqr","0 (0)"
"Q_DIAG_CKD_LEVEL","mean.sd","0.1 (0.4)"
"","median.iqr","0 (0)"
"EAVE_Smoke","Non Smoker","128,685 (47.7%)"
"","Ex Smoker","33,140 (12.3%)"
"","Smoker","57,684 (21.4%)"
"","Unknown","44,973 (16.7%)"
"",NA,"5,236 (1.9%)"
"EAVE_BP","No Investigation","64,044 (23.7%)"
"","Low","4,792 (1.8%)"
"","Normal","169,003 (62.7%)"
"","High","22,353 (8.3%)"
"","Very High","4,291 (1.6%)"
"",NA,"5,236 (1.9%)"
