"Characteristic","Levels","delta","AY.4.2","other"
"Q_HOME_CAT","0","40291 (99.4)","2337 (99.5)","452 (99.6)"
"","1","190 (0.5)","10 (0.4)","2 (0.4)"
"","2","36 (0.1)","2 (0.1)","0 (0.0)"
"Q_LEARN_CAT","0","39962 (98.6)","2316 (98.6)","444 (97.8)"
"","1","546 (1.3)","31 (1.3)","10 (2.2)"
"","2","9 (0.0)","2 (0.1)","0 (0.0)"
"Q_DIAG_CKD_LEVEL","Mean (SD)","0.1 (0.5)","0.1 (0.5)","0.0 (0.4)"
"EAVE_Smoke","Non Smoker","19169 (47.3)","1139 (48.5)","212 (46.7)"
"","Ex Smoker","5154 (12.7)","307 (13.1)","38 (8.4)"
"","Smoker","9171 (22.6)","516 (22.0)","91 (20.0)"
"","Unknown","7023 (17.3)","387 (16.5)","113 (24.9)"
"EAVE_BP","No Investigation","9863 (24.3)","508 (21.6)","138 (30.4)"
"","Low","718 (1.8)","45 (1.9)","9 (2.0)"
"","Normal","25773 (63.6)","1545 (65.8)","277 (61.0)"
"","High","3483 (8.6)","193 (8.2)","26 (5.7)"
"","Very High","680 (1.7)","58 (2.5)","4 (0.9)"
